Date,Open,High,Low,Close,Adj Close,Volume
2023-07-24,160.470001,164.039993,160.009995,161.820007,155.336273,9722100
2023-07-25,161.910004,163.509995,160.660004,162.559998,156.046600,6767600
2023-07-26,160.880005,162.089996,160.550003,161.339996,154.875488,6056400
2023-07-27,162.089996,162.470001,159.220001,159.660004,153.262817,6470100
2023-07-28,158.410004,159.000000,156.509995,158.869995,152.504456,6542300
2023-07-31,161.130005,163.979996,160.619995,163.660004,157.102554,13056300
2023-08-01,163.639999,163.639999,160.550003,162.300003,155.797012,7531400
2023-08-02,161.169998,161.220001,158.059998,159.729996,153.330017,7067100
2023-08-03,159.910004,161.699997,158.850006,159.669998,153.272400,6680700
2023-08-04,160.660004,163.020004,159.039993,159.309998,152.926834,10182300
2023-08-07,161.009995,161.380005,159.080002,159.889999,153.483597,13927400
2023-08-08,157.940002,159.789993,156.220001,159.649994,153.253220,6451300
2023-08-09,160.860001,161.440002,159.309998,159.860001,153.454788,10531500
2023-08-10,160.330002,162.479996,159.619995,160.830002,154.385925,8647100
2023-08-11,160.500000,164.169998,160.179993,164.149994,157.572891,6680300
2023-08-14,163.770004,164.250000,162.610001,164.029999,157.457703,6060100
2023-08-15,163.399994,163.410004,159.100006,159.240005,152.859634,7876500
2023-08-16,160.520004,161.830002,158.470001,158.630005,152.274094,7920500
2023-08-17,159.179993,162.139999,158.970001,159.750000,154.822968,8270500
2023-08-18,158.380005,161.320007,158.160004,160.899994,155.937485,5998600
2023-08-21,161.199997,162.070007,159.449997,160.360001,155.414139,6802300
2023-08-22,160.490005,161.250000,158.970001,159.039993,154.134842,6081700
2023-08-23,158.139999,159.410004,156.699997,159.250000,154.338394,4975600
2023-08-24,157.729996,159.889999,157.559998,157.940002,153.068771,5989600
2023-08-25,159.070007,159.910004,157.649994,159.119995,154.212387,5291800
2023-08-28,159.529999,161.800003,159.220001,160.210007,155.268784,4386100
2023-08-29,160.910004,160.949997,159.100006,159.960007,155.026489,5374800
2023-08-30,160.589996,161.250000,159.929993,160.179993,155.239685,5534900
2023-08-31,161.009995,161.240005,159.929993,161.100006,156.131332,7003700
2023-09-01,162.639999,164.690002,162.639999,164.300003,159.232635,6660400
2023-09-05,165.279999,167.559998,165.199997,166.460007,161.326019,9755800
2023-09-06,166.279999,167.440002,165.580002,166.630005,161.490768,7195500
