Date,Open,High,Low,Close,Adj Close,Volume
2023-07-24,171.500000,173.820007,170.990005,171.080002,165.886841,15155400
2023-07-25,170.449997,172.679993,169.750000,172.389999,167.157089,13790100
2023-07-26,172.000000,173.850006,171.399994,172.720001,167.477066,14288200
2023-07-27,172.179993,174.289993,172.039993,173.690002,168.417618,12446400
2023-07-28,174.000000,175.360001,173.229996,174.479996,169.183640,14138800
2023-07-31,169.690002,170.220001,166.710007,167.529999,162.444595,22632700
2023-08-01,166.369995,169.089996,166.059998,168.889999,163.763306,15810300
2023-08-02,168.850006,171.240005,168.850006,169.910004,164.752350,14595600
2023-08-03,169.949997,171.320007,169.669998,170.639999,165.460220,17424800
2023-08-04,170.339996,172.679993,167.889999,169.039993,163.908752,23414300
2023-08-07,169.490005,173.339996,169.360001,173.100006,167.845551,17736400
2023-08-08,172.990005,173.550003,171.389999,173.179993,167.923096,27378700
2023-08-09,173.000000,174.250000,172.050003,173.070007,167.816437,42974400
2023-08-10,174.000000,175.970001,171.639999,172.169998,166.943771,48213800
2023-08-11,172.479996,173.949997,171.619995,173.850006,168.572769,45904100
2023-08-14,173.520004,175.600006,171.750000,173.440002,168.175201,64036900
2023-08-15,172.800003,174.559998,172.139999,172.940002,167.690399,88958100
2023-08-16,172.529999,174.729996,172.130005,172.389999,167.157089,85832700
2023-08-17,172.860001,175.389999,172.759995,174.009995,168.727890,70904200
2023-08-18,173.169998,173.990005,171.309998,172.490005,167.254059,49617200
2023-08-21,169.690002,169.850006,165.960007,167.350006,162.270065,151319500
2023-08-22,166.860001,167.839996,165.410004,166.020004,160.980453,56835400
2023-08-23,165.899994,166.500000,163.470001,164.529999,159.535675,119011400
2023-08-24,164.029999,166.669998,163.860001,165.089996,160.078659,70755100
2023-08-25,164.300003,167.779999,164.059998,166.250000,162.373871,18185500
2023-08-28,165.000000,166.210007,163.169998,164.289993,160.459564,18458000
2023-08-29,164.869995,165.679993,162.770004,164.309998,160.479111,12208600
2023-08-30,165.110001,165.830002,163.679993,163.729996,159.912628,9939100
2023-08-31,163.369995,163.570007,161.279999,161.679993,157.910416,15333000
2023-09-01,161.419998,162.479996,160.009995,160.479996,156.738403,8609500
2023-09-05,160.559998,161.970001,160.279999,160.679993,156.933731,9019800
2023-09-06,159.839996,160.000000,157.350006,158.009995,154.325989,9753800
2023-09-07,159.139999,161.059998,158.979996,160.029999,156.298889,9931800
2023-09-08,159.589996,160.679993,159.190002,160.559998,156.816544,6957000
2023-09-11,161.059998,162.690002,160.449997,162.660004,158.867569,6309300
2023-09-12,162.220001,163.929993,161.529999,163.580002,159.766129,6045800
2023-09-13,163.759995,164.949997,163.000000,163.990005,160.166580,7397500
2023-09-14,164.679993,165.270004,163.440002,163.740005,159.922394,7758400
2023-09-15,163.979996,164.820007,161.210007,161.449997,157.685791,13388900
2023-09-18,162.119995,163.149994,160.750000,162.470001,158.682007,5789000
2023-09-19,162.250000,162.850006,161.380005,162.199997,158.418304,5550800
2023-09-20,162.190002,163.539993,161.660004,162.910004,159.111755,3837400
2023-09-21,162.570007,163.500000,161.589996,161.660004,157.890884,4526700
2023-09-22,161.300003,161.399994,160.250000,160.500000,156.757950,4976700
2023-09-25,160.070007,160.360001,158.729996,160.259995,156.523544,6722500
2023-09-26,159.809998,160.080002,158.860001,159.020004,155.312439,4904800
2023-09-27,158.580002,158.759995,155.259995,157.110001,153.446976,10211600
2023-09-28,157.500000,157.960007,156.220001,156.880005,153.222351,7861900
2023-09-29,157.369995,157.600006,155.350006,155.750000,152.118683,7679900
2023-10-02,155.419998,155.419998,153.320007,155.149994,151.532669,7259700
2023-10-03,154.679993,155.500000,153.889999,155.339996,151.718231,5740800
2023-10-04,155.570007,155.929993,154.570007,155.520004,151.894043,4955200
2023-10-05,156.270004,158.039993,156.070007,157.139999,153.476273,5993300
2023-10-06,157.080002,158.300003,156.589996,157.639999,153.964600,5801100
2023-10-09,157.179993,158.880005,157.089996,158.539993,154.843628,4414100
2023-10-10,158.380005,159.270004,157.899994,158.360001,154.667831,5273500
2023-10-11,158.460007,159.050003,156.039993,156.179993,152.538651,6922900
2023-10-12,155.919998,156.559998,155.070007,156.330002,152.685150,5792400
2023-10-13,156.729996,157.360001,156.050003,156.850006,153.193054,5359800
2023-10-16,157.820007,158.250000,156.839996,157.529999,153.857178,6408100
2023-10-17,155.979996,158.949997,154.610001,156.089996,152.450745,12244400
2023-10-18,155.410004,155.949997,152.050003,152.729996,149.169098,9097300
2023-10-19,151.669998,153.110001,150.149994,152.320007,148.768661,7733800
2023-10-20,152.740005,153.869995,152.330002,153.000000,149.432800,7206600
2023-10-23,152.860001,153.500000,151.210007,151.389999,147.860336,5874000
2023-10-24,150.750000,151.960007,150.130005,151.229996,147.704071,6155300
2023-10-25,151.240005,152.169998,150.229996,151.570007,148.036148,5880800
2023-10-26,151.970001,151.970001,148.880005,149.000000,145.526062,7612500
2023-10-27,148.490005,148.660004,144.949997,145.600006,142.205338,11385800
2023-10-30,146.089996,147.240005,146.000000,147.029999,143.601990,8205300
2023-10-31,147.539993,148.539993,146.639999,148.339996,144.881439,7576900
2023-11-01,149.190002,149.759995,148.460007,148.690002,145.223282,5733000
2023-11-02,147.710007,150.399994,147.539993,150.240005,146.737152,5349100
2023-11-03,151.210007,152.270004,150.149994,151.339996,147.811508,4925500
2023-11-06,151.779999,152.429993,151.369995,151.699997,148.163116,4851400
2023-11-07,151.929993,152.250000,150.679993,150.899994,147.381760,4840400
2023-11-08,151.350006,151.830002,150.339996,150.350006,146.844589,5460000
2023-11-09,150.500000,150.500000,147.259995,147.419998,143.982895,6973600
2023-11-10,148.250000,148.500000,145.639999,147.250000,143.816864,6930700
2023-11-13,147.250000,147.899994,146.649994,147.630005,144.188019,5889300
2023-11-14,147.639999,148.539993,146.970001,147.660004,144.217300,6713600
2023-11-15,147.350006,149.419998,147.270004,148.800003,145.330719,6729100
2023-11-16,149.500000,150.169998,148.639999,150.100006,146.600433,6875600
2023-11-17,150.550003,150.789993,149.070007,149.789993,146.297638,7023300
2023-11-20,147.910004,150.399994,147.539993,149.910004,147.587357,8851700
2023-11-21,150.100006,151.289993,149.610001,151.119995,148.778595,5916300
2023-11-22,151.630005,152.039993,150.389999,150.820007,148.483246,4633500
2023-11-24,150.860001,152.679993,150.860001,152.500000,150.137222,3351400
2023-11-27,152.289993,152.320007,150.970001,151.279999,148.936111,6449700
2023-11-28,151.399994,151.809998,150.839996,151.630005,149.280701,5909000
2023-11-29,151.330002,152.199997,151.070007,152.110001,149.753250,5190000
2023-11-30,152.259995,155.139999,151.919998,154.660004,152.263748,12481900
2023-12-01,156.440002,158.460007,155.470001,158.380005,155.926117,10342500
2023-12-04,158.000000,160.020004,158.000000,158.880005,156.418365,8920300
2023-12-05,158.800003,159.630005,158.220001,158.550003,156.093491,7268200
2023-12-06,158.520004,158.660004,156.169998,156.619995,154.193375,6642900
2023-12-07,156.580002,156.580002,154.710007,155.399994,152.992279,6532400
2023-12-08,155.419998,155.850006,153.839996,154.419998,152.027481,6253700
2023-12-11,154.500000,155.479996,154.350006,155.059998,152.657562,6090400
2023-12-12,155.000000,155.320007,153.649994,155.070007,152.667419,5324400
2023-12-13,153.660004,155.940002,151.770004,155.789993,153.376236,10764600
2023-12-14,156.470001,157.160004,155.050003,156.869995,154.439514,9240700
2023-12-15,155.490005,156.690002,153.759995,155.160004,152.756012,21712500
2023-12-18,155.210007,156.440002,154.759995,155.440002,153.031677,7231400
2023-12-19,155.300003,156.500000,154.940002,156.460007,154.035873,6651500
2023-12-20,156.539993,156.660004,153.110001,153.270004,150.895294,7008300
2023-12-21,153.690002,155.130005,153.300003,154.839996,152.440964,4598600
2023-12-22,155.250000,156.529999,155.020004,155.460007,153.051361,3798500
2023-12-26,155.000000,156.350006,154.850006,156.139999,153.720825,4170000
2023-12-27,155.500000,156.520004,155.419998,156.350006,153.927582,5288100
2023-12-28,156.000000,157.240005,155.990005,156.580002,154.154007,4377500
2023-12-29,156.509995,156.899994,155.979996,156.740005,154.311539,4311100
2024-01-02,156.929993,161.639999,156.789993,159.970001,157.491486,9622100
2024-01-03,160.639999,161.440002,159.800003,160.970001,158.475983,8232000
2024-01-04,161.589996,161.979996,160.419998,160.630005,158.141266,6766600
2024-01-05,160.500000,161.339996,159.470001,161.130005,158.633514,5602500
2024-01-08,161.100006,161.660004,159.610001,161.529999,159.027298,6569800
2024-01-09,161.630005,163.279999,160.600006,161.630005,159.125763,6357000
2024-01-10,161.820007,162.619995,161.199997,161.869995,159.362045,4945100
2024-01-11,162.070007,162.199997,160.779999,161.149994,158.653198,4946000
2024-01-12,161.839996,162.470001,161.690002,162.389999,159.873993,4496500
2024-01-16,161.570007,162.250000,160.179993,160.520004,158.032959,6923200
2024-01-17,160.250000,161.300003,159.869995,160.429993,157.944351,5072100
2024-01-18,160.000000,161.369995,159.690002,161.210007,158.712265,5368500
2024-01-19,161.149994,161.919998,160.279999,161.679993,159.174973,7055800
2024-01-22,162.000000,163.580002,161.339996,162.470001,159.952744,6824200
2024-01-23,159.660004,160.509995,156.910004,159.809998,157.333954,9149800
2024-01-24,159.750000,160.600006,158.160004,158.960007,156.497147,7247900
2024-01-25,159.000000,159.619995,158.470001,159.559998,157.087830,5478900
2024-01-26,160.429993,160.740005,159.360001,159.500000,157.028763,5591900
2024-01-29,159.009995,160.070007,158.960007,159.360001,156.890930,6483200
2024-01-30,159.350006,159.759995,158.130005,158.770004,156.310074,7200500
2024-01-31,160.399994,160.619995,158.669998,158.899994,156.438049,8256800
2024-02-01,158.160004,158.490005,157.050003,158.360001,155.906433,8012000
2024-02-02,157.970001,158.309998,155.940002,156.610001,154.183533,8295500
2024-02-05,156.610001,156.889999,155.339996,155.800003,153.386093,9121600
2024-02-06,155.830002,158.729996,155.600006,158.059998,155.611069,9229900
2024-02-07,157.800003,159.369995,157.690002,157.979996,155.532318,8690300
2024-02-08,157.339996,157.339996,155.309998,156.399994,153.976791,9755000
2024-02-09,156.270004,157.199997,155.669998,156.759995,154.331207,6529200
2024-02-12,156.580002,158.410004,156.350006,157.850006,155.404343,6701500
2024-02-13,157.639999,158.449997,155.750000,156.470001,154.045700,8621000
2024-02-14,156.350006,156.460007,154.839996,155.740005,153.327026,9098800
2024-02-15,155.979996,158.479996,155.889999,157.919998,155.473236,7462500
2024-02-16,156.600006,157.259995,155.669998,156.550003,155.294693,8540700
2024-02-20,156.559998,158.610001,156.440002,157.860001,156.594177,9501700
2024-02-21,158.020004,158.690002,157.130005,158.679993,157.407593,7473300
2024-02-22,158.979996,160.740005,157.770004,160.449997,159.163406,8065000
2024-02-23,160.880005,162.250000,160.160004,161.839996,160.542267,6726000
2024-02-26,161.800003,162.009995,160.570007,160.789993,159.500687,5465400
2024-02-27,160.339996,161.039993,159.639999,160.979996,159.689163,5078600
2024-02-28,161.000000,161.610001,160.289993,161.550003,160.254593,6071100
2024-02-29,162.000000,162.190002,160.940002,161.380005,160.085968,9849100
2024-03-01,161.830002,162.570007,161.089996,162.119995,160.820023,5668000
2024-03-04,161.320007,161.610001,158.270004,159.839996,158.558304,8532900
2024-03-05,160.619995,161.240005,159.199997,159.970001,158.687271,8298200
2024-03-06,159.460007,160.929993,159.220001,159.339996,158.062317,5773700
2024-03-07,160.000000,160.360001,158.240005,158.869995,157.596085,5188700
2024-03-08,158.869995,160.389999,158.429993,159.520004,158.240875,5283200
2024-03-11,159.490005,161.320007,158.880005,161.229996,159.937149,4620800
2024-03-12,161.580002,163.110001,161.130005,162.740005,161.435059,8018700
2024-03-13,162.529999,162.679993,159.809998,161.100006,159.808212,6260000
2024-03-14,160.940002,161.539993,158.690002,159.210007,157.933365,6988300
2024-03-15,158.059998,159.190002,157.100006,158.179993,156.911606,13165500
2024-03-18,158.570007,158.690002,156.500000,156.759995,155.502991,6602300
2024-03-19,156.669998,156.860001,155.660004,156.210007,154.957413,7840600
2024-03-20,155.699997,156.440002,155.210007,155.759995,154.511017,5982300
2024-03-21,155.589996,156.949997,155.100006,155.750000,154.501099,5915800
2024-03-22,155.690002,156.360001,155.110001,155.229996,153.985260,7245400
2024-03-25,155.399994,155.979996,154.899994,155.220001,153.975357,7498100
2024-03-26,155.610001,156.229996,154.759995,155.770004,154.520950,6864100
2024-03-27,155.990005,158.220001,155.440002,157.960007,156.693390,8461600
2024-03-28,158.199997,159.139999,158.110001,158.190002,156.921539,6181500
2024-04-01,157.720001,158.149994,156.770004,157.779999,156.514816,4364700
2024-04-02,156.570007,157.830002,155.949997,157.729996,156.465225,6102300
2024-04-03,157.789993,158.050003,154.250000,154.259995,153.023041,8098200
2024-04-04,155.309998,155.500000,152.410004,152.500000,151.277161,6947400
2024-04-05,152.029999,153.009995,151.610001,152.389999,151.168045,6778100
2024-04-08,151.990005,153.039993,151.559998,151.589996,150.374451,5935400
2024-04-09,151.550003,152.529999,150.940002,152.289993,151.068832,6135600
2024-04-10,151.529999,151.820007,149.759995,150.199997,148.995605,6809500
2024-04-11,150.800003,150.869995,148.389999,148.789993,147.596909,8374400
2024-04-12,148.059998,149.070007,147.149994,147.520004,146.337097,7097500
2024-04-15,148.369995,149.490005,147.369995,147.589996,146.406525,8502300
2024-04-16,145.009995,146.250000,143.389999,144.449997,143.291702,12774900
2024-04-17,145.000000,145.410004,143.539993,144.770004,143.609146,9378100
2024-04-18,144.979996,145.800003,143.130005,145.740005,144.571365,9887700
2024-04-19,146.149994,148.130005,144.539993,147.910004,146.723969,9747700
2024-04-22,148.509995,150.270004,147.300003,149.119995,147.924255,10118700
2024-04-23,149.860001,150.490005,148.199997,149.559998,148.360733,10110400
2024-04-24,148.139999,148.990005,146.860001,148.529999,147.338989,9756300
2024-04-25,149.369995,149.580002,146.330002,146.820007,145.642715,7642700
2024-04-26,146.699997,147.179993,145.949997,146.139999,144.968155,6183000
2024-04-29,146.139999,147.220001,145.990005,146.820007,145.642715,6149600
2024-04-30,146.880005,146.880005,144.529999,144.589996,143.430588,8817700
2024-05-01,148.740005,151.850006,147.619995,151.179993,149.967743,14470900
2024-05-02,152.039993,152.330002,149.139999,149.919998,148.717850,8459800
2024-05-03,149.889999,149.889999,147.820007,149.270004,148.073059,6532700
2024-05-06,149.869995,150.050003,147.910004,148.580002,147.388596,5042800
2024-05-07,149.380005,149.729996,148.449997,148.720001,147.527466,7333500
2024-05-08,149.119995,149.729996,148.699997,148.949997,147.755630,7735100
2024-05-09,148.979996,150.100006,148.889999,149.850006,148.648422,6546200
2024-05-10,150.000000,150.089996,149.190002,149.910004,148.707932,5710600
2024-05-13,150.039993,152.000000,149.710007,151.220001,150.007431,5628500
2024-05-14,151.850006,152.210007,150.699997,151.380005,150.166153,8254200
2024-05-15,151.820007,152.949997,151.300003,152.669998,151.445801,5548000
2024-05-16,153.000000,154.380005,152.330002,154.279999,153.042892,7591000
2024-05-17,154.860001,154.860001,153.710007,154.639999,153.399994,6521800
2024-05-20,153.100006,153.389999,151.259995,151.270004,151.270004,7742300
2024-05-21,151.779999,152.589996,150.789993,151.240005,151.240005,5492400
2024-05-22,150.839996,154.080002,150.320007,153.500000,153.500000,6609800
2024-05-23,152.750000,152.839996,149.380005,149.699997,149.699997,8000400
2024-05-24,149.529999,149.809998,146.759995,146.970001,146.970001,9517000
