Date,Open,High,Low,Close,Adj Close,Volume
2023-07-24,12.860000,12.930000,12.545000,12.680000,12.680000,23715500
2023-07-25,12.520000,12.670000,12.350000,12.510000,12.510000,68993700
2023-07-26,10.360000,10.730000,9.990000,10.730000,10.730000,137880000
2023-07-27,10.900000,10.915000,10.181000,10.330000,10.330000,65311800
2023-07-28,10.300000,10.750000,10.290000,10.680000,10.680000,49135000
2023-07-31,10.660000,11.380000,10.660000,11.360000,11.360000,37947800
2023-08-01,11.260000,11.330000,11.040000,11.280000,11.280000,19576400
2023-08-02,10.990000,11.220000,10.880000,10.970000,10.970000,31209400
2023-08-03,10.900000,11.000000,10.690000,10.790000,10.790000,23726800
2023-08-04,10.930000,11.060000,10.720000,10.750000,10.750000,19965700
2023-08-07,10.760000,10.795000,10.500000,10.570000,10.570000,16688200
2023-08-08,10.410000,10.595000,10.185000,10.540000,10.540000,22353000
2023-08-09,10.540000,10.580000,10.390000,10.440000,10.440000,14402000
2023-08-10,10.600000,10.700000,10.210000,10.220000,10.220000,15646200
2023-08-11,10.100000,10.230000,10.020000,10.030000,10.030000,15993500
2023-08-14,9.990000,9.990000,9.810000,9.940000,9.940000,23922100
2023-08-15,9.860000,9.900000,9.500000,9.560000,9.560000,21223100
2023-08-16,9.510000,9.590000,9.150000,9.160000,9.160000,30289500
2023-08-17,9.170000,9.280000,9.030000,9.040000,9.040000,20527900
2023-08-18,8.910000,9.185000,8.860000,9.180000,9.180000,14764700
2023-08-21,9.240000,9.390000,9.140000,9.360000,9.360000,13634000
2023-08-22,9.410000,9.470000,9.190000,9.250000,9.250000,14963600
2023-08-23,9.190000,9.330000,9.190000,9.240000,9.240000,10358900
2023-08-24,9.380000,9.460000,9.060000,9.370000,9.370000,20443900
2023-08-25,9.390000,9.410000,9.000000,9.250000,9.250000,19434900
2023-08-28,9.340000,9.550000,9.325000,9.450000,9.450000,11979100
2023-08-29,9.480000,9.900000,9.425000,9.890000,9.890000,18276500
2023-08-30,9.820000,10.170000,9.750000,10.120000,10.120000,30608900
2023-08-31,10.130000,10.440000,10.130000,10.350000,10.350000,20863600
2023-09-01,10.410000,10.540000,10.310000,10.440000,10.440000,17965900
2023-09-05,10.270000,10.600000,10.230000,10.460000,10.460000,20595200
2023-09-06,10.270000,10.290000,9.570000,9.630000,9.630000,40061400
2023-09-07,9.450000,9.820000,9.415000,9.720000,9.720000,17158300
2023-09-08,9.680000,9.740000,9.390000,9.390000,9.390000,21002100
2023-09-11,9.480000,9.635000,9.430000,9.440000,9.440000,16848000
2023-09-12,9.360000,9.630000,9.360000,9.580000,9.580000,13528600
2023-09-13,9.490000,9.538000,9.280000,9.290000,9.290000,12832400
2023-09-14,9.365000,9.400000,9.150000,9.160000,9.160000,12847600
2023-09-15,9.190000,9.245000,9.040000,9.160000,9.160000,16278400
2023-09-18,9.080000,9.100000,8.810000,8.890000,8.890000,20619800
2023-09-19,8.820000,9.005000,8.620000,9.000000,9.000000,20100200
2023-09-20,9.060000,9.379000,8.950000,9.030000,9.030000,24692100
2023-09-21,8.860000,8.975000,8.610000,8.630000,8.630000,21584200
2023-09-22,8.720000,8.885000,8.670000,8.690000,8.690000,11432500
2023-09-25,8.600000,8.710000,8.550000,8.600000,8.600000,10074700
2023-09-26,8.430000,8.490000,8.280000,8.340000,8.340000,25839900
2023-09-27,8.390000,8.610000,8.370000,8.490000,8.490000,14303900
2023-09-28,8.420000,8.655000,8.340000,8.560000,8.560000,16715400
2023-09-29,8.740000,8.930000,8.670000,8.910000,8.910000,21149800
2023-10-02,8.870000,8.915000,8.560000,8.740000,8.740000,15763200
2023-10-03,8.580000,8.768000,8.470000,8.540000,8.540000,17300000
2023-10-04,8.560000,8.720000,8.500000,8.690000,8.690000,16226500
2023-10-05,8.660000,8.840000,8.550000,8.740000,8.740000,11503400
2023-10-06,8.570000,8.640000,8.395000,8.630000,8.630000,22557900
2023-10-09,8.540000,8.680000,8.500000,8.610000,8.610000,13059800
2023-10-10,8.700000,9.110000,8.660000,8.820000,8.820000,22342600
2023-10-11,8.850000,9.130000,8.820000,9.110000,9.110000,18773800
2023-10-12,9.060000,9.330000,9.010000,9.110000,9.110000,29718200
2023-10-13,9.100000,9.140000,8.670000,8.680000,8.680000,27893000
2023-10-16,9.020000,9.750000,8.960000,9.720000,9.720000,56297800
2023-10-17,9.560000,9.770000,9.540000,9.690000,9.690000,24836000
2023-10-18,9.600000,9.760000,9.510000,9.600000,9.600000,19250400
2023-10-19,9.550000,9.870000,9.460000,9.650000,9.650000,21177200
2023-10-20,9.600000,9.670000,9.310000,9.440000,9.440000,29372600
2023-10-23,9.350000,9.880000,9.300000,9.490000,9.490000,37569200
2023-10-24,9.630000,9.980000,9.580000,9.710000,9.710000,71921400
2023-10-25,10.370000,10.870000,9.100000,9.190000,9.190000,94403200
2023-10-26,9.110000,9.520000,8.910000,9.300000,9.300000,42454200
2023-10-27,9.330000,9.550000,9.180000,9.300000,9.300000,24606500
2023-10-30,9.340000,9.810000,9.290000,9.700000,9.700000,25083900
2023-10-31,9.790000,10.055000,9.600000,10.010000,10.010000,28796700
2023-11-01,9.950000,10.080000,9.810000,9.990000,9.990000,19548100
2023-11-02,10.140000,10.590000,10.100000,10.430000,10.430000,30659300
2023-11-03,10.520000,10.915000,10.520000,10.720000,10.720000,22872400
2023-11-06,10.740000,10.870000,10.620000,10.730000,10.730000,18754900
2023-11-07,10.720000,11.020000,10.680000,10.960000,10.960000,15836900
2023-11-08,11.040000,11.250000,10.860000,11.230000,11.230000,21448600
2023-11-09,11.220000,11.730000,11.180000,11.240000,11.240000,26971500
2023-11-10,10.950000,11.370000,10.920000,11.320000,11.320000,19155400
2023-11-13,11.330000,11.435000,11.150000,11.300000,11.300000,12118700
2023-11-14,12.050000,12.425000,12.040000,12.150000,12.150000,38147400
2023-11-15,12.120000,12.320000,11.940000,12.200000,12.200000,21312700
2023-11-16,12.130000,12.340000,11.800000,12.070000,12.070000,22969600
2023-11-17,11.910000,11.995000,11.500000,11.890000,11.890000,22109500
2023-11-20,11.880000,12.300000,11.870000,12.150000,12.150000,14543300
2023-11-21,11.980000,12.150000,11.890000,12.060000,12.060000,10266400
2023-11-22,12.170000,12.320000,12.030000,12.310000,12.310000,10114300
2023-11-24,12.240000,12.560000,12.240000,12.520000,12.520000,10797700
2023-11-27,12.410000,12.800000,12.410000,12.680000,12.680000,16203000
2023-11-28,12.605000,12.870000,12.580000,12.840000,12.840000,14907000
2023-11-29,12.940000,13.085000,12.820000,12.980000,12.980000,15300000
2023-11-30,13.490000,14.230000,13.485000,13.830000,13.830000,51167400
2023-12-01,13.750000,14.240000,13.615000,14.140000,14.140000,23409200
2023-12-04,14.060000,14.380000,13.965000,14.300000,14.300000,21274400
2023-12-05,14.160000,14.660000,14.110000,14.600000,14.600000,18141100
2023-12-06,14.830000,15.360000,14.770000,14.770000,14.770000,27154500
2023-12-07,14.740000,14.850000,14.540000,14.760000,14.760000,15148800
2023-12-08,14.700000,15.305000,14.680000,15.090000,15.090000,20709300
2023-12-11,15.820000,15.950000,15.520000,15.750000,15.750000,32187100
2023-12-12,15.630000,16.059999,15.445000,15.850000,15.850000,27396300
2023-12-13,16.000000,16.540001,15.840000,16.450001,16.450001,26639300
2023-12-14,16.670000,17.230000,16.570000,16.940001,16.940001,39763700
2023-12-15,17.040001,17.219999,16.530001,16.920000,16.920000,35550400
2023-12-18,17.440001,17.900000,16.799999,17.020000,17.020000,49763600
2023-12-19,16.540001,17.254999,16.170000,17.180000,17.180000,52580600
2023-12-20,16.980000,17.299999,16.590000,16.600000,16.600000,28279700
2023-12-21,16.940001,17.290001,16.700001,17.230000,17.230000,34281600
2023-12-22,17.200001,17.320000,16.889999,17.049999,17.049999,21568700
2023-12-26,17.059999,17.100000,16.680000,16.780001,16.780001,13944300
2023-12-27,16.730000,16.990000,16.680000,16.950001,16.950001,15975400
2023-12-28,16.920000,17.200001,16.820000,17.049999,17.049999,13845200
2023-12-29,17.030001,17.209999,16.830000,16.930000,16.930000,16683000
2024-01-02,16.520000,16.555000,15.930000,16.139999,16.139999,29687000
2024-01-03,15.520000,16.040001,15.270000,15.780000,15.780000,28496100
2024-01-04,15.750000,16.280001,15.685000,16.200001,16.200001,15922900
2024-01-05,16.120001,16.677999,16.101999,16.549999,16.549999,21565500
2024-01-08,16.670000,17.330000,16.459999,17.309999,17.309999,20267500
2024-01-09,17.379999,17.750000,16.969999,17.049999,17.049999,35649000
2024-01-10,17.180000,17.450001,16.820000,17.370001,17.370001,19372600
2024-01-11,17.299999,17.620001,16.809999,17.090000,17.090000,22803600
2024-01-12,17.000000,17.010000,16.371000,16.430000,16.430000,19048000
2024-01-16,16.209999,16.209999,15.430000,15.540000,15.540000,35778100
2024-01-17,15.530000,15.590000,15.180000,15.500000,15.500000,20971500
2024-01-18,15.630000,16.268999,15.500000,16.209999,16.209999,21257600
2024-01-19,16.400000,16.570000,16.170000,16.420000,16.420000,15287700
