Date,Open,High,Low,Close,Adj Close,Volume
2023-07-24,9.440000,9.560000,9.295000,9.450000,9.450000,26643500
2023-07-25,9.400000,9.780000,9.310000,9.330000,9.330000,38811100
2023-07-26,9.260000,9.540000,9.210000,9.520000,9.520000,34922300
2023-07-27,9.710000,9.730000,8.940000,9.090000,9.090000,45958200
2023-07-28,9.360000,9.600000,9.160000,9.550000,9.550000,58205300
2023-07-31,10.390000,11.700000,10.300000,11.450000,11.450000,210958900
2023-08-01,11.060000,11.100000,10.310000,10.350000,10.350000,88881800
2023-08-02,10.120000,10.280000,9.720000,10.080000,10.080000,62865900
2023-08-03,9.920000,10.170000,9.860000,10.050000,10.050000,37651500
2023-08-04,10.080000,10.100000,9.470000,9.500000,9.500000,42370200
2023-08-07,9.500000,9.570000,9.160000,9.390000,9.390000,31682000
2023-08-08,9.030000,9.450000,9.010000,9.310000,9.310000,28127800
2023-08-09,9.270000,9.270000,8.800000,8.990000,8.990000,43368300
2023-08-10,9.090000,9.240000,8.720000,8.720000,8.720000,37657800
2023-08-11,8.530000,8.700000,8.420000,8.650000,8.650000,26833600
2023-08-14,8.520000,8.710000,8.360000,8.680000,8.680000,27735500
2023-08-15,8.600000,8.600000,8.340000,8.370000,8.370000,23709300
2023-08-16,8.230000,8.430000,8.210000,8.260000,8.260000,23398900
2023-08-17,8.350000,8.410000,8.080000,8.110000,8.110000,29582400
2023-08-18,7.920000,8.290000,7.890000,8.220000,8.220000,27173100
2023-08-21,8.250000,8.330000,8.080000,8.290000,8.290000,22676600
2023-08-22,8.400000,8.470000,8.110000,8.150000,8.150000,23164700
2023-08-23,8.080000,8.470000,8.060000,8.430000,8.430000,21855700
2023-08-24,8.480000,8.500000,8.080000,8.120000,8.120000,26080600
2023-08-25,8.120000,8.430000,8.060000,8.290000,8.290000,24163700
2023-08-28,8.380000,8.420000,8.170000,8.230000,8.230000,17488700
2023-08-29,8.180000,8.580000,8.160000,8.460000,8.460000,24487400
2023-08-30,8.460000,8.780000,8.360000,8.740000,8.740000,26123600
2023-08-31,8.780000,8.870000,8.520000,8.660000,8.660000,26175600
2023-09-01,8.770000,8.925000,8.720000,8.790000,8.790000,17694500
2023-09-05,8.750000,8.875000,8.620000,8.750000,8.750000,18906300
2023-09-06,8.730000,8.810000,8.430000,8.540000,8.540000,23909700
2023-09-07,8.350000,8.580000,8.220000,8.570000,8.570000,19320700
2023-09-08,8.540000,8.670000,8.450000,8.550000,8.550000,15045300
2023-09-11,8.650000,8.920000,8.640000,8.900000,8.900000,19320600
2023-09-12,8.790000,9.188000,8.790000,9.000000,9.000000,25495600
2023-09-13,9.000000,9.090000,8.770000,8.800000,8.800000,16819200
2023-09-14,8.890000,9.180000,8.860000,9.050000,9.050000,23642000
2023-09-15,9.000000,9.140000,8.880000,9.070000,9.070000,30416800
2023-09-18,9.050000,9.070000,8.630000,8.670000,8.670000,22678700
2023-09-19,8.650000,8.870000,8.540000,8.620000,8.620000,18091600
2023-09-20,8.670000,8.790000,8.310000,8.320000,8.320000,21643900
2023-09-21,8.110000,8.150000,7.910000,7.950000,7.950000,29426500
2023-09-22,8.030000,8.050000,7.440000,7.540000,7.540000,38736100
2023-09-25,7.460000,7.655000,7.400000,7.510000,7.510000,23107800
2023-09-26,7.400000,7.590000,7.370000,7.400000,7.400000,22544900
2023-09-27,7.480000,7.657000,7.390000,7.600000,7.600000,28227000
2023-09-28,7.600000,7.840000,7.530000,7.770000,7.770000,23539600
2023-09-29,7.920000,8.300000,7.910000,7.990000,7.990000,28742000
2023-10-02,8.080000,8.160000,7.800000,7.840000,7.840000,20000300
2023-10-03,7.710000,7.750000,7.180000,7.280000,7.280000,36674900
2023-10-04,7.410000,7.490000,7.140000,7.470000,7.470000,23978900
2023-10-05,7.420000,7.710000,7.300000,7.650000,7.650000,17072900
2023-10-06,7.510000,8.030000,7.500000,7.990000,7.990000,23311700
2023-10-09,7.780000,8.200000,7.770000,8.180000,8.180000,17191900
2023-10-10,8.250000,8.530000,8.210000,8.360000,8.360000,20874200
2023-10-11,8.450000,8.725000,8.450000,8.590000,8.590000,22512700
2023-10-12,8.640000,8.665000,8.280000,8.390000,8.390000,22155400
2023-10-13,8.440000,8.475000,8.065000,8.120000,8.120000,21977600
2023-10-16,8.240000,8.350000,8.080000,8.250000,8.250000,16675200
2023-10-17,8.100000,8.360000,8.080000,8.250000,8.250000,18473600
2023-10-18,8.190000,8.260000,7.690000,7.770000,7.770000,26281300
2023-10-19,7.750000,7.980000,7.590000,7.630000,7.630000,26767700
2023-10-20,7.550000,7.680000,7.320000,7.370000,7.370000,27223700
2023-10-23,7.280000,7.500000,6.970000,7.260000,7.260000,29748000
2023-10-24,7.400000,7.575000,7.260000,7.380000,7.380000,23335900
2023-10-25,7.240000,7.270000,7.020000,7.080000,7.080000,31058500
2023-10-26,7.040000,7.170000,6.795000,6.900000,6.900000,47046900
2023-10-27,7.070000,7.080000,6.850000,6.870000,6.870000,45332100
2023-10-30,7.600000,7.880000,6.680000,6.940000,6.940000,125927200
2023-10-31,7.040000,7.570000,7.030000,7.550000,7.550000,63310400
2023-11-01,7.640000,7.750000,7.350000,7.580000,7.580000,42359700
2023-11-02,7.900000,8.200000,7.880000,8.170000,8.170000,45933900
2023-11-03,8.280000,8.480000,8.000000,8.010000,8.010000,41472500
2023-11-06,8.050000,8.060000,7.370000,7.490000,7.490000,46262100
2023-11-07,7.500000,7.600000,7.330000,7.420000,7.420000,34068100
2023-11-08,7.380000,7.395000,7.120000,7.310000,7.310000,28150800
2023-11-09,7.160000,7.170000,6.570000,6.850000,6.850000,86607400
2023-11-10,6.920000,6.950000,6.740000,6.940000,6.940000,29494800
2023-11-13,6.850000,7.110000,6.720000,7.040000,7.040000,33982500
2023-11-14,7.390000,7.530000,7.220000,7.480000,7.480000,38408700
2023-11-15,7.390000,7.500000,7.220000,7.370000,7.370000,40095900
2023-11-16,7.280000,7.290000,6.631000,6.710000,6.710000,73603100
2023-11-17,6.800000,6.880000,6.650000,6.830000,6.830000,30785400
2023-11-20,6.770000,6.780000,6.560000,6.615000,6.615000,44558700
2023-11-21,6.540000,6.725000,6.410000,6.720000,6.720000,46170200
2023-11-22,6.800000,7.030000,6.710000,6.900000,6.900000,36549600
2023-11-24,6.900000,6.950000,6.790000,6.860000,6.860000,13457600
2023-11-27,6.870000,7.200000,6.860000,7.030000,7.030000,40258600
2023-11-28,7.040000,7.350000,7.000000,7.340000,7.340000,36138300
2023-11-29,7.440000,7.730000,7.310000,7.350000,7.350000,45648300
2023-11-30,7.390000,7.400000,7.100000,7.290000,7.290000,41877900
2023-12-01,7.260000,7.930000,7.170000,7.830000,7.830000,68780300
2023-12-04,7.710000,8.250000,7.650000,7.960000,7.960000,45245600
2023-12-05,7.890000,8.030000,7.750000,7.990000,7.990000,30468400
2023-12-06,8.140000,8.450000,7.860000,7.890000,7.890000,51458700
2023-12-07,7.980000,8.140000,7.880000,7.960000,7.960000,30489200
2023-12-08,7.950000,8.220000,7.880000,8.130000,8.130000,34463500
2023-12-11,8.120000,8.270000,8.000000,8.070000,8.070000,24365600
2023-12-12,8.070000,8.095000,7.825000,7.950000,7.950000,26087100
2023-12-13,7.980000,8.960000,7.840000,8.940000,8.940000,75424700
2023-12-14,9.110000,9.840000,9.090000,9.470000,9.470000,92753900
2023-12-15,9.530000,9.570000,9.140000,9.350000,9.350000,52489000
2023-12-18,9.300000,9.790000,9.210000,9.660000,9.660000,48816300
2023-12-19,9.780000,9.995000,9.660000,9.940000,9.940000,51836700
2023-12-20,9.910000,10.160000,9.230000,9.310000,9.310000,75814700
2023-12-21,9.530000,9.670000,9.390000,9.640000,9.640000,41803000
2023-12-22,9.770000,9.880000,9.585000,9.710000,9.710000,29080400
2023-12-26,9.830000,9.990000,9.745000,9.960000,9.960000,26013700
2023-12-27,10.010000,10.490000,10.000000,10.320000,10.320000,44253700
2023-12-28,10.280000,10.390000,10.185000,10.280000,10.280000,26416400
2023-12-29,10.250000,10.299000,9.810000,9.950000,9.950000,38152600
2024-01-02,9.710000,9.815000,9.520000,9.650000,9.650000,38035000
2024-01-03,8.910000,9.030000,8.280000,8.310000,8.310000,82970700
2024-01-04,8.350000,8.585000,8.170000,8.420000,8.420000,37398900
2024-01-05,8.270000,8.500000,8.160000,8.220000,8.220000,39621600
2024-01-08,8.250000,8.620000,8.230000,8.530000,8.530000,32042200
2024-01-09,8.400000,8.520000,8.280000,8.320000,8.320000,26168200
2024-01-10,8.330000,8.600000,8.140000,8.480000,8.480000,39487200
2024-01-11,8.410000,8.430000,8.060000,8.170000,8.170000,46166600
2024-01-12,8.170000,8.300000,7.810000,7.890000,7.890000,49156500
2024-01-16,7.770000,7.850000,7.610000,7.720000,7.720000,38223300
2024-01-17,7.530000,7.580000,7.370000,7.530000,7.530000,41129900
2024-01-18,7.620000,7.630000,7.230000,7.410000,7.410000,47079900
2024-01-19,7.450000,7.500000,7.210000,7.490000,7.490000,39811300
2024-01-22,7.830000,8.330000,7.720000,7.920000,7.920000,69046700
2024-01-23,8.100000,8.140000,7.730000,7.750000,7.750000,45600700
2024-01-24,7.890000,7.940000,7.530000,7.560000,7.560000,41431000
2024-01-25,7.660000,7.750000,7.550000,7.650000,7.650000,49509400
2024-01-26,7.690000,7.830000,7.520000,7.620000,7.620000,72566000
2024-01-29,8.820000,9.450000,8.620000,9.160000,9.160000,286380900
2024-01-30,9.030000,9.400000,8.380000,8.400000,8.400000,119356000
2024-01-31,8.090000,8.340000,7.810000,7.830000,7.830000,110241400
2024-02-01,7.930000,7.960000,7.570000,7.730000,7.730000,76525400
2024-02-02,7.580000,7.950000,7.470000,7.880000,7.880000,53205100
2024-02-05,7.700000,7.760000,7.450000,7.580000,7.580000,42003000
2024-02-06,7.590000,7.880000,7.530000,7.800000,7.800000,44063700
2024-02-07,7.820000,7.830000,7.570000,7.660000,7.660000,37544900
2024-02-08,7.700000,8.140000,7.660000,8.080000,8.080000,49560500
2024-02-09,8.185000,8.350000,8.080000,8.130000,8.130000,40417500
2024-02-12,8.120000,8.500000,8.105000,8.330000,8.330000,44804100
2024-02-13,7.840000,8.205000,7.780000,8.020000,8.020000,62894400
2024-02-14,8.150000,8.430000,8.100000,8.420000,8.420000,44248000
2024-02-15,8.500000,8.550000,8.340000,8.530000,8.530000,40691500
2024-02-16,8.440000,8.580000,8.270000,8.360000,8.360000,50285500
2024-02-20,8.290000,8.520000,8.210000,8.510000,8.510000,39814900
2024-02-21,8.340000,8.350000,8.100000,8.110000,8.110000,39260200
2024-02-22,8.240000,8.350000,8.140000,8.160000,8.160000,30401200
2024-02-23,8.170000,8.370000,8.110000,8.170000,8.170000,27447600
2024-02-26,8.190000,8.690000,8.165000,8.540000,8.540000,46576100
2024-02-27,8.750000,9.170000,8.700000,9.150000,9.150000,66939300
2024-02-28,9.040000,9.180000,8.830000,8.860000,8.860000,42120700
2024-02-29,9.070000,9.139000,8.820000,8.980000,8.980000,29742200
2024-03-01,8.990000,9.040000,8.770000,8.990000,8.990000,26200600
2024-03-04,9.050000,9.130000,8.570000,8.580000,8.580000,35426400
2024-03-05,8.070000,8.200000,7.260000,7.270000,7.270000,187827900
2024-03-06,7.370000,7.620000,7.050000,7.400000,7.400000,131025300
2024-03-07,7.500000,7.579000,7.180000,7.470000,7.470000,83118900
2024-03-08,7.520000,7.830000,7.470000,7.710000,7.710000,76490500
2024-03-11,7.805000,7.950000,7.610000,7.680000,7.680000,59023000
2024-03-12,7.680000,7.690000,7.380000,7.480000,7.480000,49576500
2024-03-13,7.430000,7.560000,7.360000,7.380000,7.380000,42118300
2024-03-14,7.330000,7.350000,6.990000,7.050000,7.050000,69575100
2024-03-15,7.030000,7.050000,6.910000,7.030000,7.030000,52674400
2024-03-18,7.065000,7.110000,6.860000,7.080000,7.080000,47168400
2024-03-19,6.920000,7.030000,6.815000,6.920000,6.920000,50479000
2024-03-20,6.925000,7.370000,6.870000,7.360000,7.360000,61455100
2024-03-21,7.550000,7.570000,7.360000,7.440000,7.440000,56091900
2024-03-22,7.320000,7.409000,7.240000,7.300000,7.300000,23188400
2024-03-25,7.280000,7.597000,7.250000,7.450000,7.450000,27430900
2024-03-26,7.350000,7.460000,7.165000,7.200000,7.200000,39576600
2024-03-27,7.280000,7.370000,7.170000,7.360000,7.360000,34738800
2024-03-28,7.330000,7.470000,7.290000,7.300000,7.300000,30108100
2024-04-01,7.310000,7.340000,7.120000,7.220000,7.220000,31681900
2024-04-02,7.050000,7.220000,6.970000,7.200000,7.200000,29678800
2024-04-03,7.310000,7.580000,7.230000,7.540000,7.540000,50638600
2024-04-04,7.650000,7.710000,7.270000,7.310000,7.310000,49594100
2024-04-05,7.300000,7.460000,7.250000,7.400000,7.400000,29121300
2024-04-08,7.510000,7.770000,7.500000,7.760000,7.760000,56858200
2024-04-09,7.820000,7.940000,7.730000,7.890000,7.890000,46554000
2024-04-10,7.650000,7.800000,7.480000,7.560000,7.560000,53826100
2024-04-11,7.570000,7.640000,7.430000,7.640000,7.640000,28651700
2024-04-12,7.560000,7.600000,7.300000,7.330000,7.330000,36044300
2024-04-15,7.330000,7.420000,7.080000,7.120000,7.120000,33759400
2024-04-16,7.045000,7.285000,6.970000,7.200000,7.200000,34200500
2024-04-17,7.230000,7.340000,7.120000,7.160000,7.160000,29625600
2024-04-18,7.160000,7.380000,7.070000,7.130000,7.130000,34419100
2024-04-19,7.080000,7.280000,7.050000,7.110000,7.110000,36530500
2024-04-22,7.170000,7.290000,7.105000,7.250000,7.250000,31327400
2024-04-23,7.240000,7.590000,7.220000,7.580000,7.580000,40321500
2024-04-24,7.605000,7.680000,7.460000,7.600000,7.600000,39726800
2024-04-25,7.420000,7.600000,7.260000,7.590000,7.590000,47658800
2024-04-26,7.698000,7.900000,7.580000,7.870000,7.870000,88631000
2024-04-29,7.370000,7.450000,7.000000,7.045000,7.045000,149660200
2024-04-30,6.880000,6.890000,6.610000,6.780000,6.780000,78411600
2024-05-01,6.700000,7.180000,6.650000,6.920000,6.920000,68347700
2024-05-02,7.030000,7.110000,6.860000,6.990000,6.990000,45473400
2024-05-03,7.130000,7.240000,6.880000,6.960000,6.960000,56618000
2024-05-06,7.055000,7.270000,7.030000,7.160000,7.160000,50016600
2024-05-07,7.120000,7.190000,7.030000,7.060000,7.060000,31025600
2024-05-08,6.980000,7.085000,6.930000,7.050000,7.050000,29637600
2024-05-09,7.080000,7.130000,6.990000,7.060000,7.060000,22463500
2024-05-10,7.050000,7.090000,6.920000,6.940000,6.940000,29080800
2024-05-13,7.030000,7.320000,7.000000,7.110000,7.110000,55264000
2024-05-14,7.210000,7.640000,7.200000,7.470000,7.470000,74991900
2024-05-15,7.630000,7.630000,7.210000,7.270000,7.270000,35185400
2024-05-16,7.230000,7.300000,7.110000,7.120000,7.120000,28905000
2024-05-17,7.150000,7.420000,7.120000,7.280000,7.280000,36606000
2024-05-20,7.250000,7.290000,7.170000,7.190000,7.190000,20605800
2024-05-21,7.150000,7.200000,7.050000,7.080000,7.080000,24500700
2024-05-22,7.060000,7.140000,6.970000,7.020000,7.020000,28018400
2024-05-23,7.040000,7.070000,6.770000,6.830000,6.830000,53003900
2024-05-24,6.870000,7.000000,6.870000,6.920000,6.920000,21484400
2024-05-28,6.990000,7.050000,6.870000,6.890000,6.890000,31435900
2024-05-29,6.780000,6.850000,6.685000,6.850000,6.850000,26240400
2024-05-30,6.840000,6.930000,6.810000,6.910000,6.910000,21911400
2024-05-31,6.950000,6.990000,6.760000,6.900000,6.900000,28216900
2024-06-03,6.970000,6.990000,6.750000,6.770000,6.770000,31596700
2024-06-04,6.750000,6.860000,6.710000,6.720000,6.720000,27546400
2024-06-05,6.770000,6.940000,6.720000,6.910000,6.910000,32061500
2024-06-06,6.900000,7.090000,6.840000,7.080000,7.080000,26131000
2024-06-07,6.920000,7.050000,6.865000,6.990000,6.990000,26082300
2024-06-10,6.900000,7.070000,6.880000,7.030000,7.030000,20848000
2024-06-11,7.000000,7.038000,6.900000,7.000000,7.000000,20066600
2024-06-12,7.170000,7.428000,7.050000,7.070000,7.070000,57027300
2024-06-13,7.100000,7.130000,6.770000,6.800000,6.800000,51888300
2024-06-14,6.710000,6.765000,6.430000,6.460000,6.460000,75531400
2024-06-17,6.460000,6.490000,6.300000,6.460000,6.460000,45193300
2024-06-18,6.460000,6.600000,6.390000,6.420000,6.420000,28420200
2024-06-20,6.420000,6.450000,6.260000,6.320000,6.320000,31396900
2024-06-21,6.300000,6.350000,6.200000,6.320000,6.320000,34537200
2024-06-24,6.320000,6.570000,6.300000,6.540000,6.540000,32286900
2024-06-25,6.540000,6.540000,6.410000,6.450000,6.450000,19627200
2024-06-26,6.400000,6.480000,6.360000,6.460000,6.460000,18400200
2024-06-27,6.410000,6.540000,6.360000,6.540000,6.540000,18808000
2024-06-28,6.600000,6.650000,6.530000,6.610000,6.610000,30002000
2024-07-01,6.600000,6.670000,6.415000,6.430000,6.430000,30828100
2024-07-02,6.430000,6.480000,6.290000,6.450000,6.450000,26977400
2024-07-03,6.480000,6.550000,6.415000,6.520000,6.520000,15364300
2024-07-05,6.480000,6.510000,6.380000,6.470000,6.470000,15639700
2024-07-08,6.485000,6.530000,6.350000,6.350000,6.350000,22763700
2024-07-09,6.350000,6.380000,6.150000,6.380000,6.380000,40392200
2024-07-10,6.420000,6.620000,6.320000,6.570000,6.570000,37482300
2024-07-11,6.800000,6.930000,6.680000,6.770000,6.770000,46656300
2024-07-12,6.890000,7.000000,6.810000,6.970000,6.970000,36944900
2024-07-15,7.060000,7.430000,7.010000,7.330000,7.330000,57035700
2024-07-16,7.440000,7.820000,7.345000,7.750000,7.750000,63079500
2024-07-17,7.572000,7.910000,7.572000,7.840000,7.840000,65800500
2024-07-18,7.870000,8.060000,7.490000,7.530000,7.530000,56454300
2024-07-19,7.500000,7.610000,7.310000,7.470000,7.470000,32991500
